# started 2026-09-01 00:19:58
# cached: b=0.50 N=10 (100 trials reused)
00:28:01 | b=0.15 | trial  84 | gates= 228 |   44.2s | overall 385/1000
00:28:02 | b=0.15 | trial  87 | gates= 220 |   43.2s | overall 386/1000
00:28:02 | b=0.15 | trial  86 | gates= 224 |   44.0s | overall 387/1000
00:28:03 | b=0.15 | trial  82 | gates= 228 |   49.8s | overall 388/1000
00:28:04 | b=0.15 | trial  89 | gates= 226 |   41.4s | overall 389/1000
00:28:05 | b=0.15 | trial  91 | gates= 214 |   42.0s | overall 390/1000
00:28:07 | b=0.15 | trial  90 | gates= 216 |   44.0s | overall 391/1000
00:28:07 | b=0.15 | trial  92 | gates= 228 |   43.4s | overall 392/1000
00:28:09 | b=0.15 | trial  98 | gates= 226 |   41.5s | overall 393/1000
00:28:09 | b=0.20 | trial   1 | gates= 216 |   39.9s | overall 394/1000
00:28:10 | b=0.15 | trial  99 | gates= 236 |   41.7s | overall 395/1000
00:28:11 | b=0.15 | trial  95 | gates= 222 |   43.6s | overall 396/1000
00:28:11 | b=0.15 | trial  97 | gates= 228 |   43.6s | overall 397/1000
00:28:15 | b=0.15 | trial  93 | gates= 222 |   48.8s | overall 398/1000
00:28:15 | b=0.15 | trial  94 | gates= 224 |   49.3s | overall 399/1000
00:28:17 | b=0.15 | trial  96 | gates= 226 |   49.3s | overall 400/1000
00:28:17 | b=0.20 | trial   3 | gates= 220 |   44.5s | overall 401/1000
00:28:17 | b=0.15 | trial 100 | gates= 218 |   48.0s | overall 402/1000
00:28:22 | b=0.20 | trial   4 | gates= 222 |   44.0s | overall 403/1000
00:28:22 | b=0.20 | trial   2 | gates= 218 |   48.2s | overall 404/1000
00:28:22 | b=0.20 | trial   5 | gates= 224 |   46.3s | overall 405/1000
00:28:23 | b=0.20 | trial   6 | gates= 226 |   42.9s | overall 406/1000
00:28:35 | b=0.20 | trial   7 | gates= 218 |   49.1s | overall 407/1000
00:28:36 | b=0.20 | trial  10 | gates= 222 |   40.5s | overall 408/1000
00:28:37 | b=0.20 | trial   8 | gates= 230 |   48.6s | overall 409/1000
00:28:40 | b=0.20 | trial   9 | gates= 216 |   45.2s | overall 410/1000
00:28:41 | b=0.20 | trial  12 | gates= 220 |   41.6s | overall 411/1000
00:28:43 | b=0.20 | trial  11 | gates= 226 |   43.8s | overall 412/1000
00:28:45 | b=0.20 | trial  13 | gates= 224 |   43.9s | overall 413/1000
00:28:45 | b=0.20 | trial  15 | gates= 214 |   43.4s | overall 414/1000
00:28:46 | b=0.20 | trial  14 | gates= 224 |   44.8s | overall 415/1000
00:28:47 | b=0.20 | trial  18 | gates= 218 |   41.5s | overall 416/1000
00:28:48 | b=0.20 | trial  17 | gates= 228 |   44.3s | overall 417/1000
00:28:50 | b=0.20 | trial  20 | gates= 214 |   43.0s | overall 418/1000
00:28:51 | b=0.20 | trial  19 | gates= 220 |   44.6s | overall 419/1000
00:28:52 | b=0.20 | trial  16 | gates= 230 |   49.0s | overall 420/1000
00:28:52 | b=0.20 | trial  23 | gates= 226 |   42.1s | overall 421/1000
00:28:53 | b=0.20 | trial  21 | gates= 222 |   43.6s | overall 422/1000
00:28:54 | b=0.20 | trial  25 | gates= 224 |   42.5s | overall 423/1000
00:28:55 | b=0.20 | trial  22 | gates= 228 |   45.3s | overall 424/1000
00:28:57 | b=0.20 | trial  24 | gates= 206 |   46.3s | overall 425/1000
00:28:58 | b=0.20 | trial  26 | gates= 232 |   43.0s | overall 426/1000
00:28:59 | b=0.20 | trial  29 | gates= 220 |   42.5s | overall 427/1000
00:29:01 | b=0.20 | trial  28 | gates= 212 |   44.0s | overall 428/1000
00:29:03 | b=0.20 | trial  32 | gates= 220 |   43.8s | overall 429/1000
00:29:05 | b=0.20 | trial  27 | gates= 230 |   49.8s | overall 430/1000
00:29:06 | b=0.20 | trial  30 | gates= 226 |   49.0s | overall 431/1000
00:29:07 | b=0.20 | trial  31 | gates= 218 |   49.4s | overall 432/1000
00:29:09 | b=0.20 | trial  33 | gates= 222 |   49.2s | overall 433/1000
00:29:12 | b=0.20 | trial  34 | gates= 226 |   48.8s | overall 434/1000
00:29:18 | b=0.20 | trial  36 | gates= 222 |   42.0s | overall 435/1000
